Stock,Weight
COKE,0.13772303017980506
SMID,0.09026671880104925
PDEX,0.0816353873972045
CWST,0.0771763345018886
CELH,0.06718576228359761
ZYXI,0.05503345342107934
IESC,0.054819790906259644
NVDA,0.050903295425767006
GRVY,0.04937166306039526
KRMD,0.046569135901941144
CORT,0.03831161364969976
PAYS,0.03643263111270446
INOD,0.034737050450743365
NFLX,0.03467798304289252
AXON,0.03400887606528329
RDNT,0.032512807472500085
FTNT,0.024856027539487152
SANG,0.02476587474710326
ATLC,0.022794488973341503
HIVE,0.0028290478838555438
DTST,0.0023083654800509293
AMD,0.001006928392825893
TSLA,7.37333105245245e-05
MELI,1.1364867986290021e-16
MPWR,7.672429433890265e-17
SAIA,5.976723209112761e-17
PANW,4.786212282771496e-17
NVMI,4.378674888030915e-17
CAMT,1.874667200912708e-17
CDNS,9.391395394107089e-18
